matchid,winner,hero_1_A,hero_2_A,hero_3_A,hero_4_A,hero_5_A,hero_6_A,hero_1_B,hero_2_B,hero_3_B,hero_4_B,hero_5_B,hero_6_B
6300272,The Amber Hand,Warden,Grey Talon,Paradox,Seven,Infernus,Abrams,Bebop,Shiv,Haze,Wraith,Dynamo,Vindicta
6300273,The Amber Hand,Yamato,Wraith,Grey Talon,Infernus,Bebop,Paradox,Lash,Seven,Viscous,Ivy,McGinnis,Haze
6300274,The Amber Hand,Seven,Haze,Shiv,Ivy,Bebop,Grey Talon,Dynamo,Infernus,Kelvin,McGinnis,Abrams,Wraith
6300275,The Sapphire Flame,Pocket,Wraith,Viscous,McGinnis,Seven,Bebop,Warden,Vindicta,Infernus,Abrams,Haze,Grey Talon
6300276,The Amber Hand,Wraith,Infernus,Mo & Krill,Bebop,Vindicta,Yamato,Seven,Paradox,Haze,Warden,Shiv,Grey Talon
6300277,The Amber Hand,Ivy,Pocket,Haze,Yamato,Viscous,Bebop,Mo & Krill,Infernus,Lady Geist,Vindicta,Wraith,Dynamo
6300278,The Amber Hand,McGinnis,Abrams,Viscous,Paradox,Mo & Krill,Lady Geist,Pocket,Lash,Wraith,Bebop,Vindicta,Infernus
6300279,The Amber Hand,Warden,Shiv,Vindicta,Wraith,Seven,Infernus,Bebop,Mo & Krill,Lady Geist,Lash,Ivy,Abrams
6300281,The Amber Hand,Bebop,Wraith,Vindicta,Seven,Dynamo,Mo & Krill,Kelvin,McGinnis,Viscous,Shiv,Infernus,Haze
6300283,The Amber Hand,Haze,Bebop,Mo & Krill,Kelvin,Lady Geist,Wraith,Lash,Pocket,Paradox,Seven,Vindicta,Viscous
6300288,The Amber Hand,Lash,Infernus,Shiv,Vindicta,Bebop,Grey Talon,Wraith,Haze,Kelvin,Seven,Paradox,Lady Geist
6300289,The Sapphire Flame,Shiv,Seven,Mo & Krill,Vindicta,Abrams,Warden,Wraith,Haze,Viscous,Paradox,Grey Talon,Infernus
6300290,The Amber Hand,Bebop,McGinnis,Grey Talon,Seven,Vindicta,Shiv,Haze,Kelvin,Infernus,Lady Geist,Abrams,Wraith
6300291,The Amber Hand,Wraith,Vindicta,Mo & Krill,Lash,Infernus,Haze,Bebop,Grey Talon,Kelvin,Seven,McGinnis,Pocket
6300293,The Sapphire Flame,Seven,McGinnis,Vindicta,Pocket,Haze,Infernus,Warden,Grey Talon,Shiv,Bebop,Wraith,Viscous
6300294,The Sapphire Flame,Vindicta,Seven,Wraith,Paradox,Kelvin,Ivy,Infernus,Lady Geist,Viscous,Grey Talon,Dynamo,Haze
6300296,The Amber Hand,Vindicta,McGinnis,Infernus,Abrams,Shiv,Paradox,Haze,Bebop,Yamato,Seven,Warden,Wraith
6300297,The Sapphire Flame,Dynamo,Shiv,Haze,Vindicta,Lady Geist,Mo & Krill,Grey Talon,Bebop,Pocket,Infernus,Wraith,Seven
6300298,The Sapphire Flame,Vindicta,Seven,Abrams,Dynamo,Haze,Grey Talon,Lady Geist,Shiv,Wraith,Pocket,Infernus,McGinnis
6300300,The Amber Hand,Vindicta,Haze,McGinnis,Warden,Infernus,Abrams,Seven,Grey Talon,Paradox,Ivy,Yamato,Wraith
6300301,The Amber Hand,Bebop,Seven,Shiv,McGinnis,Warden,Dynamo,Haze,Lady Geist,Vindicta,Viscous,Infernus,Kelvin
6300302,The Sapphire Flame,Seven,Wraith,Vindicta,Bebop,Grey Talon,McGinnis,Lash,Haze,Ivy,Paradox,Yamato,Abrams
